algorithm,seed,reference_productivity,reference_process_yield,HV
NSGA2,107,0.2,0.1,0.19553065364850067
NSGA2,109,0.0,0.0,0.35708677496673924
NSGA2,109,0.05,0.02,0.31822833896814806
NSGA2,109,0.1,0.05,0.27128344923060743
NSGA2,109,0.2,0.1,0.19548012349447536
NSGA2,113,0.0,0.0,0.3571127171514932
NSGA2,113,0.05,0.02,0.3182497415879974
NSGA2,113,0.1,0.05,0.2712959221053469
NSGA2,113,0.2,0.1,0.1954791270592008
MOEAD_TCH,2,0.0,0.0,0.3536607735375088
MOEAD_TCH,2,0.05,0.02,0.31520722779156635
MOEAD_TCH,2,0.1,0.05,0.2687189099103244
MOEAD_TCH,2,0.2,0.1,0.19377704628314
MOEAD_TCH,3,0.0,0.0,0.35170098217960655
MOEAD_TCH,3,0.05,0.02,0.3134722583203575
MOEAD_TCH,3,0.1,0.05,0.26718744451023463
MOEAD_TCH,3,0.2,0.1,0.19267390684086255
MOEAD_TCH,5,0.0,0.0,0.3421021285462933
MOEAD_TCH,5,0.05,0.02,0.3046751932544722
MOEAD_TCH,5,0.1,0.05,0.259640421584413
MOEAD_TCH,5,0.2,0.1,0.18717871462253244
MOEAD_TCH,7,0.0,0.0,0.3556818258205355
MOEAD_TCH,7,0.05,0.02,0.3170249045908559
MOEAD_TCH,7,0.1,0.05,0.2702783908391412
MOEAD_TCH,7,0.2,0.1,0.19487495585774656
MOEAD_TCH,11,0.0,0.0,0.3497807385170696
MOEAD_TCH,11,0.05,0.02,0.31171023934507386
MOEAD_TCH,11,0.1,0.05,0.265718539787755
MOEAD_TCH,11,0.2,0.1,0.19165634105844015
MOEAD_TCH,13,0.0,0.0,0.3529882877699976
MOEAD_TCH,13,0.05,0.02,0.3145228367537638
MOEAD_TCH,13,0.1,0.05,0.26798384066632686
MOEAD_TCH,13,0.2,0.1,0.1929793935626565
MOEAD_TCH,17,0.0,0.0,0.3553739234350136
MOEAD_TCH,17,0.05,0.02,0.3167154791050882
MOEAD_TCH,17,0.1,0.05,0.26996891464074946
MOEAD_TCH,17,0.2,0.1,0.19456390584648497
MOEAD_TCH,19,0.0,0.0,0.35552269097264916
MOEAD_TCH,19,0.05,0.02,0.3166938119962527
MOEAD_TCH,19,0.1,0.05,0.26978451294554157
MOEAD_TCH,19,0.2,0.1,0.194046334918434
MOEAD_TCH,23,0.0,0.0,0.34644666366013077
MOEAD_TCH,23,0.05,0.02,0.3086864972914618
MOEAD_TCH,23,0.1,0.05,0.2631088934891861
MOEAD_TCH,23,0.2,0.1,0.1897711233182416
MOEAD_TCH,29,0.0,0.0,0.34471610400568653
MOEAD_TCH,29,0.05,0.02,0.307075431693203
MOEAD_TCH,29,0.1,0.05,0.2617815777410913
MOEAD_TCH,29,0.2,0.1,0.1888470514764959
MOEAD_TCH,31,0.0,0.0,0.3462746858031523
MOEAD_TCH,31,0.05,0.02,0.30848437226292186
MOEAD_TCH,31,0.1,0.05,0.26289539749564383
MOEAD_TCH,31,0.2,0.1,0.18951610918813527
MOEAD_TCH,37,0.0,0.0,0.34311475728618235
MOEAD_TCH,37,0.05,0.02,0.30566330883745363
MOEAD_TCH,37,0.1,0.05,0.2604560535695753
MOEAD_TCH,37,0.2,0.1,0.18779734985296814
MOEAD_TCH,41,0.0,0.0,0.3374839205624847
MOEAD_TCH,41,0.05,0.02,0.3004579496890857
MOEAD_TCH,41,0.1,0.05,0.25603415840743926
MOEAD_TCH,41,0.2,0.1,0.18458439625239334
MOEAD_TCH,43,0.0,0.0,0.34502705822533825
MOEAD_TCH,43,0.05,0.02,0.30734787632008737
MOEAD_TCH,43,0.1,0.05,0.2619979413697359
MOEAD_TCH,43,0.2,0.1,0.18896882451413347
MOEAD_TCH,47,0.0,0.0,0.3446694122801322
MOEAD_TCH,47,0.05,0.02,0.3069876310767857
MOEAD_TCH,47,0.1,0.05,0.2616895935131331
MOEAD_TCH,47,0.2,0.1,0.1887097747461335
MOEAD_TCH,53,0.0,0.0,0.3488755408735724
MOEAD_TCH,53,0.05,0.02,0.31083497838425794
