algorithm,seed,reference_productivity,reference_process_yield,HV
MOEAD_ASF,11,0.1,0.05,0.2652930558306519
MOEAD_ASF,11,0.2,0.1,0.19112443494049644
MOEAD_ASF,13,0.0,0.0,0.353902526411623
MOEAD_ASF,13,0.05,0.02,0.315381266376516
MOEAD_ASF,13,0.1,0.05,0.26877861777252027
MOEAD_ASF,13,0.2,0.1,0.19365470913341742
MOEAD_ASF,17,0.0,0.0,0.3532476646368367
MOEAD_ASF,17,0.05,0.02,0.31462781778283117
MOEAD_ASF,17,0.1,0.05,0.2680354896054758
MOEAD_ASF,17,0.2,0.1,0.19282331457411514
MOEAD_ASF,19,0.0,0.0,0.35423651934713746
MOEAD_ASF,19,0.05,0.02,0.31570136311028935
MOEAD_ASF,19,0.1,0.05,0.2690758843226804
MOEAD_ASF,19,0.2,0.1,0.19391524929822332
MOEAD_ASF,23,0.0,0.0,0.349334050288951
MOEAD_ASF,23,0.05,0.02,0.3112795896276451
MOEAD_ASF,23,0.1,0.05,0.2653244482201854
MOEAD_ASF,23,0.2,0.1,0.19131484615142014
MOEAD_ASF,29,0.0,0.0,0.3534816728922813
MOEAD_ASF,29,0.05,0.02,0.31495388586582396
MOEAD_ASF,29,0.1,0.05,0.2684262605997838
MOEAD_ASF,29,0.2,0.1,0.19337084830728618
MOEAD_ASF,31,0.0,0.0,0.35288368840567635
MOEAD_ASF,31,0.05,0.02,0.31445919053574944
MOEAD_ASF,31,0.1,0.05,0.2680286732518844
MOEAD_ASF,31,0.2,0.1,0.19317365809809245
MOEAD_ASF,37,0.0,0.0,0.35316773478456276
MOEAD_ASF,37,0.05,0.02,0.3145392278264549
MOEAD_ASF,37,0.1,0.05,0.26792915355523556
MOEAD_ASF,37,0.2,0.1,0.1926905723259078
MOEAD_ASF,41,0.0,0.0,0.3524539165049572
MOEAD_ASF,41,0.05,0.02,0.31397345294668855
MOEAD_ASF,41,0.1,0.05,0.2675331140334815
MOEAD_ASF,41,0.2,0.1,0.19261231156200614
MOEAD_ASF,43,0.0,0.0,0.35110281116067293
MOEAD_ASF,43,0.05,0.02,0.3127566679401599
MOEAD_ASF,43,0.1,0.05,0.2665455895740446
MOEAD_ASF,43,0.2,0.1,0.19198836798741634
MOEAD_ASF,47,0.0,0.0,0.34925852450225636
MOEAD_ASF,47,0.05,0.02,0.31111602428853935
MOEAD_ASF,47,0.1,0.05,0.26515779959790237
MOEAD_ASF,47,0.2,0.1,0.1910570746935484
MOEAD_ASF,53,0.0,0.0,0.3500677877954758
MOEAD_ASF,53,0.05,0.02,0.3118075365890755
MOEAD_ASF,53,0.1,0.05,0.2657413506515967
MOEAD_ASF,53,0.2,0.1,0.1914149135077176
MOEAD_ASF,59,0.0,0.0,0.35519728302825626
MOEAD_ASF,59,0.05,0.02,0.3164361388609687
MOEAD_ASF,59,0.1,0.05,0.2696339803718477
MOEAD_ASF,59,0.2,0.1,0.19407067771543907
MOEAD_ASF,61,0.0,0.0,0.35560725926781467
MOEAD_ASF,61,0.05,0.02,0.31682649126533424
MOEAD_ASF,61,0.1,0.05,0.2699617387661183
MOEAD_ASF,61,0.2,0.1,0.1943162182644222
MOEAD_ASF,67,0.0,0.0,0.35374988142313923
MOEAD_ASF,67,0.05,0.02,0.3152108274110229
MOEAD_ASF,67,0.1,0.05,0.2685924501348732
MOEAD_ASF,67,0.2,0.1,0.1934350188466071
MOEAD_ASF,71,0.0,0.0,0.3506869658228
MOEAD_ASF,71,0.05,0.02,0.31243596912386146
MOEAD_ASF,71,0.1,0.05,0.26627768388523215
MOEAD_ASF,71,0.2,0.1,0.19186840194766416
MOEAD_ASF,73,0.0,0.0,0.34274093866631206
MOEAD_ASF,73,0.05,0.02,0.3050898658829514
MOEAD_ASF,73,0.1,0.05,0.2599517088159316
MOEAD_ASF,73,0.2,0.1,0.18716247896555144
MOEAD_ASF,79,0.0,0.0,0.35505087125945856
MOEAD_ASF,79,0.05,0.02,0.3164120259589173
MOEAD_ASF,79,0.1,0.05,0.2696834206764895
MOEAD_ASF,79,0.2,0.1,0.19431597009352014
MOEAD_ASF,83,0.0,0.0,0.3550370683651274
MOEAD_ASF,83,0.05,0.02,0.31633092708657046
MOEAD_ASF,83,0.1,0.05,0.26954497177145154
MOEAD_ASF,83,0.2,0.1,0.19405287517777556
MOEAD_ASF,89,0.0,0.0,0.3551780905342489
MOEAD_ASF,89,0.05,0.02,0.31650915693617626
MOEAD_ASF,89,0.1,0.05,0.2697746075584402
MOEAD_ASF,89,0.2,0.1,0.19437112458263098
MOEAD_ASF,97,0.0,0.0,0.353312646621449
MOEAD_ASF,97,0.05,0.02,0.3148102718057772
MOEAD_ASF,97,0.1,0.05,0.2683306637103343
MOEAD_ASF,97,0.2,0.1,0.19334868079921927
MOEAD_ASF,101,0.0,0.0,0.35437635624605884
MOEAD_ASF,101,0.05,0.02,0.31574319371592513
MOEAD_ASF,101,0.1,0.05,0.26904558913528803
MOEAD_ASF,101,0.2,0.1,0.193714822024517
MOEAD_ASF,103,0.0,0.0,0.35244041417837735
MOEAD_ASF,103,0.05,0.02,0.31399345705873305
MOEAD_ASF,103,0.1,0.05,0.2676117611391129
MOEAD_ASF,103,0.2,0.1,0.19278310809984842
MOEAD_ASF,107,0.0,0.0,0.3472800125138526
MOEAD_ASF,107,0.05,0.02,0.30930653013772114
MOEAD_ASF,107,0.1,0.05,0.2636157491185367
MOEAD_ASF,107,0.2,0.1,0.18995148572322068
MOEAD_ASF,109,0.0,0.0,0.35489506363311496
MOEAD_ASF,109,0.05,0.02,0.31622482674399854
MOEAD_ASF,109,0.1,0.05,0.2694967252883641
MOEAD_ASF,109,0.2,0.1,0.19409838694361323
MOEAD_ASF,113,0.0,0.0,0.35120224347662105
MOEAD_ASF,113,0.05,0.02,0.31275914758592593
MOEAD_ASF,113,0.1,0.05,0.2664289242231835
MOEAD_ASF,113,0.2,0.1,0.19165560496974582
MOEAD_AASF,2,0.0,0.0,0.34247544197493096
MOEAD_AASF,2,0.05,0.02,0.3046908021477135
MOEAD_AASF,2,0.1,0.05,0.2593531123117916
MOEAD_AASF,2,0.2,0.1,0.1862307826486522
MOEAD_AASF,3,0.0,0.0,0.3527796550231384
MOEAD_AASF,3,0.05,0.02,0.31431894623947626
MOEAD_AASF,3,0.1,0.05,0.26779520897670683
MOEAD_AASF,3,0.2,0.1,0.19281076293027552
MOEAD_AASF,5,0.0,0.0,0.35167072328592336
MOEAD_AASF,5,0.05,0.02,0.3131196438175871
MOEAD_AASF,5,0.1,0.05,0.26661531554293666
MOEAD_AASF,5,0.2,0.1,0.19155990779995008
MOEAD_AASF,7,0.0,0.0,0.35289706471408355
MOEAD_AASF,7,0.05,0.02,0.3142944981939207
MOEAD_AASF,7,0.1,0.05,0.2677021677211609
MOEAD_AASF,7,0.2,0.1,0.19250727072823798
MOEAD_AASF,11,0.0,0.0,0.3448455839760312
MOEAD_AASF,11,0.05,0.02,0.3070520189534456
MOEAD_AASF,11,0.1,0.05,0.26161916066632135
MOEAD_AASF,11,0.2,0.1,0.18839273735661166
MOEAD_AASF,13,0.0,0.0,0.3549428274598061
MOEAD_AASF,13,0.05,0.02,0.3162390007090823
MOEAD_AASF,13,0.1,0.05,0.2694743029267095
MOEAD_AASF,13,0.2,0.1,0.19400577839361297
MOEAD_AASF,17,0.0,0.0,0.3536779749228275
MOEAD_AASF,17,0.05,0.02,0.31502416034552444
MOEAD_AASF,17,0.1,0.05,0.26831250236129905
MOEAD_AASF,17,0.2,0.1,0.19294702979977035
MOEAD_AASF,19,0.0,0.0,0.3497894179671561
MOEAD_AASF,19,0.05,0.02,0.31156652354136644
MOEAD_AASF,19,0.1,0.05,0.26541651428074997
MOEAD_AASF,19,0.2,0.1,0.19104361059434408
MOEAD_AASF,23,0.0,0.0,0.3516584908271085
MOEAD_AASF,23,0.05,0.02,0.313252287989495
MOEAD_AASF,23,0.1,0.05,0.2668506580175323
MOEAD_AASF,23,0.2,0.1,0.1920428252079562
MOEAD_AASF,29,0.0,0.0,0.3445553805436783
MOEAD_AASF,29,0.05,0.02,0.3067677934962145
MOEAD_AASF,29,0.1,0.05,0.2613724492709146
MOEAD_AASF,29,0.2,0.1,0.1881895179981503
MOEAD_AASF,31,0.0,0.0,0.3534264984842299
MOEAD_AASF,31,0.05,0.02,0.31481616530424744
MOEAD_AASF,31,0.1,0.05,0.268242164105651
MOEAD_AASF,31,0.2,0.1,0.19305782972707208
MOEAD_AASF,37,0.0,0.0,0.3534218111751184
MOEAD_AASF,37,0.05,0.02,0.31487837124889095
MOEAD_AASF,37,0.1,0.05,0.26829393938301666
MOEAD_AASF,37,0.2,0.1,0.19316606759091492
MOEAD_AASF,41,0.0,0.0,0.3514871653194701
MOEAD_AASF,41,0.05,0.02,0.31307386194193587
MOEAD_AASF,41,0.1,0.05,0.26674776931627797
MOEAD_AASF,41,0.2,0.1,0.19200837331308543
MOEAD_AASF,43,0.0,0.0,0.3539212102538082
MOEAD_AASF,43,0.05,0.02,0.3152821693700288
MOEAD_AASF,43,0.1,0.05,0.26855254689190156
MOEAD_AASF,43,0.2,0.1,0.19318388352999502
MOEAD_AASF,47,0.0,0.0,0.35332502780865893
MOEAD_AASF,47,0.05,0.02,0.31459622185050223
MOEAD_AASF,47,0.1,0.05,0.2678151742467204
MOEAD_AASF,47,0.2,0.1,0.19230532068478182
MOEAD_AASF,53,0.0,0.0,0.3538026020671086
MOEAD_AASF,53,0.05,0.02,0.31522135334182083
MOEAD_AASF,53,0.1,0.05,0.2685717036364318
MOEAD_AASF,53,0.2,0.1,0.193340805205755
MOEAD_AASF,59,0.0,0.0,0.3557371192756746
MOEAD_AASF,59,0.05,0.02,0.31689181273746925
MOEAD_AASF,59,0.1,0.05,0.26995710822218943
MOEAD_AASF,59,0.2,0.1,0.1941770971687046
MOEAD_AASF,61,0.0,0.0,0.3537211632883684
MOEAD_AASF,61,0.05,0.02,0.314983863353221
MOEAD_AASF,61,0.1,0.05,0.2682160928126312
MOEAD_AASF,61,0.2,0.1,0.19271102233689363
MOEAD_AASF,67,0.0,0.0,0.3500984542401015
MOEAD_AASF,67,0.05,0.02,0.31179434234015807
MOEAD_AASF,67,0.1,0.05,0.2656295159002737
MOEAD_AASF,67,0.2,0.1,0.19116057756044605
MOEAD_AASF,71,0.0,0.0,0.34861636819625724
MOEAD_AASF,71,0.05,0.02,0.3104371185705237
MOEAD_AASF,71,0.1,0.05,0.26448316680372735
MOEAD_AASF,71,0.2,0.1,0.19034996541119786
MOEAD_AASF,73,0.0,0.0,0.35553554607033944
MOEAD_AASF,73,0.05,0.02,0.31670702323545674
MOEAD_AASF,73,0.1,0.05,0.26979170446689044
MOEAD_AASF,73,0.2,0.1,0.19404786286344175
MOEAD_AASF,79,0.0,0.0,0.35444697371146994
MOEAD_AASF,79,0.05,0.02,0.31581214524385837
MOEAD_AASF,79,0.1,0.05,0.2690984759470325
MOEAD_AASF,79,0.2,0.1,0.19374997818259526
MOEAD_AASF,83,0.0,0.0,0.3486506508447372
MOEAD_AASF,83,0.05,0.02,0.31046069756085026
MOEAD_AASF,83,0.1,0.05,0.2645030490182792
MOEAD_AASF,83,0.2,0.1,0.19035544719182101
MOEAD_AASF,89,0.0,0.0,0.3543695261886732
MOEAD_AASF,89,0.05,0.02,0.31569959789968344
MOEAD_AASF,89,0.1,0.05,0.26894642104392935
MOEAD_AASF,89,0.2,0.1,0.1935233158991855
MOEAD_AASF,97,0.0,0.0,0.34709219836221744
MOEAD_AASF,97,0.05,0.02,0.30906413953629575
MOEAD_AASF,97,0.1,0.05,0.2633316118177215
MOEAD_AASF,97,0.2,0.1,0.18957102527322578
MOEAD_AASF,101,0.0,0.0,0.3519970482536293
MOEAD_AASF,101,0.05,0.02,0.31366235523426717
MOEAD_AASF,101,0.1,0.05,0.26732279002170795
MOEAD_AASF,101,0.2,0.1,0.19264853178978691
MOEAD_AASF,103,0.0,0.0,0.35129382117328845
MOEAD_AASF,103,0.05,0.02,0.31289067941634985
MOEAD_AASF,103,0.1,0.05,0.26662192851739475
MOEAD_AASF,103,0.2,0.1,0.19195003586150078
MOEAD_AASF,107,0.0,0.0,0.35432905374914214
MOEAD_AASF,107,0.05,0.02,0.31571641355492347
MOEAD_AASF,107,0.1,0.05,0.26901385604171174
MOEAD_AASF,107,0.2,0.1,0.1936986583342812
MOEAD_AASF,109,0.0,0.0,0.3544263437655153
MOEAD_AASF,109,0.05,0.02,0.31581634342044074
MOEAD_AASF,109,0.1,0.05,0.26912549889770143
MOEAD_AASF,109,0.2,0.1,0.19382465402988744
MOEAD_AASF,113,0.0,0.0,0.3552267975290478
MOEAD_AASF,113,0.05,0.02,0.31644900349315014
MOEAD_AASF,113,0.1,0.05,0.26960592725612054
MOEAD_AASF,113,0.2,0.1,0.19398505698319338
FMINCON_49,2,0.0,0.0,0.35615666756973424
FMINCON_49,2,0.05,0.02,0.31728710447521874
FMINCON_49,2,0.1,0.05,0.2703258402242555
FMINCON_49,2,0.2,0.1,0.19449501287877607
FMINCON_49,3,0.0,0.0,0.3561567713609822
FMINCON_49,3,0.05,0.02,0.3172872082664218
FMINCON_49,3,0.1,0.05,0.2703259440154159
FMINCON_49,3,0.2,0.1,0.1944951166698493
FMINCON_49,5,0.0,0.0,0.35615647722506094
FMINCON_49,5,0.05,0.02,0.31728691440474216
FMINCON_49,5,0.1,0.05,0.27032565042797774
FMINCON_49,5,0.2,0.1,0.1944948236308942
FMINCON_49,7,0.0,0.0,0.3561566989204498
FMINCON_49,7,0.05,0.02,0.31728713582582896
FMINCON_49,7,0.1,0.05,0.27032587157476
FMINCON_49,7,0.2,0.1,0.19449504422907032
FMINCON_49,11,0.0,0.0,0.35613656997079035
FMINCON_49,11,0.05,0.02,0.3172670068761273
FMINCON_49,11,0.1,0.05,0.2703057426250168
FMINCON_49,11,0.2,0.1,0.194474915279243
FMINCON_49,13,0.0,0.0,0.3561479124780366
FMINCON_49,13,0.05,0.02,0.3172798075884233
FMINCON_49,13,0.1,0.05,0.2703200015423622
FMINCON_49,13,0.2,0.1,0.19449209060668773
FMINCON_49,17,0.0,0.0,0.3561567154794204
FMINCON_49,17,0.05,0.02,0.3172871534541804
FMINCON_49,17,0.1,0.05,0.27032589027249276
FMINCON_49,17,0.2,0.1,0.19449506506556505
FMINCON_49,19,0.0,0.0,0.3561566009731668
FMINCON_49,19,0.05,0.02,0.3172870378783865
FMINCON_49,19,0.1,0.05,0.2703257736271602
FMINCON_49,19,0.2,0.1,0.1944949462811534
FMINCON_49,23,0.0,0.0,0.35615649437150465
FMINCON_49,23,0.05,0.02,0.3172869312769067
FMINCON_49,23,0.1,0.05,0.270325667025863
FMINCON_49,23,0.2,0.1,0.19449483968022127
FMINCON_49,29,0.0,0.0,0.35615643057566415
FMINCON_49,29,0.05,0.02,0.3172868674810072
FMINCON_49,29,0.1,0.05,0.2703256032299027
FMINCON_49,29,0.2,0.1,0.19449477588414132
FMINCON_49,31,0.0,0.0,0.35615777834863
FMINCON_49,31,0.05,0.02,0.3172882152538916
FMINCON_49,31,0.1,0.05,0.2703269510027077
FMINCON_49,31,0.2,0.1,0.19449612365678529
FMINCON_49,37,0.0,0.0,0.35615650773874136
FMINCON_49,37,0.05,0.02,0.31728694464408236
FMINCON_49,37,0.1,0.05,0.2703256803929777
FMINCON_49,37,0.2,0.1,0.19449485304721412
FMINCON_49,41,0.0,0.0,0.356156675678248
FMINCON_49,41,0.05,0.02,0.31728711258346787
FMINCON_49,41,0.1,0.05,0.2703258483322401
FMINCON_49,41,0.2,0.1,0.1944950209862321
FMINCON_49,43,0.0,0.0,0.35615661697602397
FMINCON_49,43,0.05,0.02,0.3172870538812482
FMINCON_49,43,0.1,0.05,0.2703257896300252
FMINCON_49,43,0.2,0.1,0.19449496228402624
FMINCON_49,47,0.0,0.0,0.3561567102180592
FMINCON_49,47,0.05,0.02,0.3172871471234046
FMINCON_49,47,0.1,0.05,0.2703258828723036
FMINCON_49,47,0.2,0.1,0.19449505552654803
FMINCON_49,53,0.0,0.0,0.35615655877447144
FMINCON_49,53,0.05,0.02,0.31728699567976093
FMINCON_49,53,0.1,0.05,0.2703257314286031
FMINCON_49,53,0.2,0.1,0.19449490408273482
FMINCON_49,59,0.0,0.0,0.35614262121523976
FMINCON_49,59,0.05,0.02,0.3172730581206308
FMINCON_49,59,0.1,0.05,0.2703117938695744
FMINCON_49,59,0.2,0.1,0.19448096652390914
FMINCON_49,61,0.0,0.0,0.3561564602164498
FMINCON_49,61,0.05,0.02,0.31728689712179203
FMINCON_49,61,0.1,0.05,0.2703256328706867
FMINCON_49,61,0.2,0.1,0.19449480552492365
FMINCON_49,67,0.0,0.0,0.35615702857208736
FMINCON_49,67,0.05,0.02,0.31728746547742315
FMINCON_49,67,0.1,0.05,0.2703262012263115
FMINCON_49,67,0.2,0.1,0.19449537388053553
FMINCON_49,71,0.0,0.0,0.3561561279943691
FMINCON_49,71,0.05,0.02,0.3172865648996655
FMINCON_49,71,0.1,0.05,0.27032530064851606
FMINCON_49,71,0.2,0.1,0.19449447330266292
FMINCON_49,73,0.0,0.0,0.35615651773507395
FMINCON_49,73,0.05,0.02,0.3172869546525316
FMINCON_49,73,0.1,0.05,0.27032569041355614
FMINCON_49,73,0.2,0.1,0.19449486309203853
FMINCON_49,79,0.0,0.0,0.35615632574701495
FMINCON_49,79,0.05,0.02,0.3172867626524721
FMINCON_49,79,0.1,0.05,0.2703254984014817
FMINCON_49,79,0.2,0.1,0.19449467105594825
FMINCON_49,83,0.0,0.0,0.3561566081432887
FMINCON_49,83,0.05,0.02,0.3172870450486004
FMINCON_49,83,0.1,0.05,0.27032578079746433
FMINCON_49,83,0.2,0.1,0.19449495345164
FMINCON_49,89,0.0,0.0,0.35615664118607615
FMINCON_49,89,0.05,0.02,0.3172870780923181
FMINCON_49,89,0.1,0.05,0.27032581384211435
FMINCON_49,89,0.2,0.1,0.1944949864981525
FMINCON_49,97,0.0,0.0,0.3561478421435091
FMINCON_49,97,0.05,0.02,0.3172797370511304
FMINCON_49,97,0.1,0.05,0.27031993080230604
FMINCON_49,97,0.2,0.1,0.1944920194611031
FMINCON_49,101,0.0,0.0,0.35613648392386227
FMINCON_49,101,0.05,0.02,0.31726692082920216
FMINCON_49,101,0.1,0.05,0.27030565657809613
FMINCON_49,101,0.2,0.1,0.19447482923233012
FMINCON_49,103,0.0,0.0,0.35615646490424224
FMINCON_49,103,0.05,0.02,0.3172869018096069
FMINCON_49,103,0.1,0.05,0.2703256375585259
FMINCON_49,103,0.2,0.1,0.19449481021280954
FMINCON_49,107,0.0,0.0,0.3561566108998039
FMINCON_49,107,0.05,0.02,0.3172870478052902
FMINCON_49,107,0.1,0.05,0.2703257835543433
FMINCON_49,107,0.2,0.1,0.1944949562088825
FMINCON_49,109,0.0,0.0,0.35615628542213346
FMINCON_49,109,0.05,0.02,0.3172867223274453
FMINCON_49,109,0.1,0.05,0.27032545807631153
FMINCON_49,109,0.2,0.1,0.19449463073048975
FMINCON_49,113,0.0,0.0,0.35615664874547226
FMINCON_49,113,0.05,0.02,0.31728708565081853
FMINCON_49,113,0.1,0.05,0.2703258213997174
FMINCON_49,113,0.2,0.1,0.19449499405396253
FMINCON_100,2,0.0,0.0,0.3571529138303708
FMINCON_100,2,0.05,0.02,0.31828335073585406
FMINCON_100,2,0.1,0.05,0.27132208648488887
FMINCON_100,2,0.2,0.1,0.19549125913940665
FMINCON_100,3,0.0,0.0,0.35715303840945933
FMINCON_100,3,0.05,0.02,0.31828347531489515
FMINCON_100,3,0.1,0.05,0.27132221106388354
FMINCON_100,3,0.2,0.1,0.19549138371830752
FMINCON_100,5,0.0,0.0,0.3571529509400607
FMINCON_100,5,0.05,0.02,0.31828338811973833
FMINCON_100,5,0.1,0.05,0.27132212414296825
FMINCON_100,5,0.2,0.1,0.19549129734587595
FMINCON_100,7,0.0,0.0,0.3571529257924865
FMINCON_100,7,0.05,0.02,0.3182833626978653
FMINCON_100,7,0.1,0.05,0.2713220984467971
FMINCON_100,7,0.2,0.1,0.1954912711011078
FMINCON_100,11,0.0,0.0,0.3571529751465567
FMINCON_100,11,0.05,0.02,0.3182834120518942
FMINCON_100,11,0.1,0.05,0.2713221478007852
FMINCON_100,11,0.2,0.1,0.1954913204550134
FMINCON_100,13,0.0,0.0,0.35715100784666803
FMINCON_100,13,0.05,0.02,0.3182817726547462
FMINCON_100,13,0.1,0.05,0.27132083630646864
FMINCON_100,13,0.2,0.1,0.19549066476626945
FMINCON_100,17,0.0,0.0,0.3571529444909181
FMINCON_100,17,0.05,0.02,0.31828338246567844
FMINCON_100,17,0.1,0.05,0.271322119283992
FMINCON_100,17,0.2,0.1,0.19549129407706556
FMINCON_100,19,0.0,0.0,0.35715287763135084
FMINCON_100,19,0.05,0.02,0.3182833145365685
FMINCON_100,19,0.1,0.05,0.27132205028533934
FMINCON_100,19,0.2,0.1,0.19549122293932739
FMINCON_100,23,0.0,0.0,0.3571529158814924
FMINCON_100,23,0.05,0.02,0.3182833527868904
FMINCON_100,23,0.1,0.05,0.2713220885358408
FMINCON_100,23,0.2,0.1,0.19549126119018911
FMINCON_100,29,0.0,0.0,0.3571529220363942
FMINCON_100,29,0.05,0.02,0.31828335894173654
FMINCON_100,29,0.1,0.05,0.27132209469063157
FMINCON_100,29,0.2,0.1,0.19549126734486894
FMINCON_100,31,0.0,0.0,0.3571528685332935
FMINCON_100,31,0.05,0.02,0.31828330543855315
FMINCON_100,31,0.1,0.05,0.27132204118736564
FMINCON_100,31,0.2,0.1,0.19549121384143794
FMINCON_100,37,0.0,0.0,0.35715302054411413
FMINCON_100,37,0.05,0.02,0.3182834574494515
FMINCON_100,37,0.1,0.05,0.2713221931983414
FMINCON_100,37,0.2,0.1,0.1954913658525688
FMINCON_100,41,0.0,0.0,0.3571529123520854
FMINCON_100,41,0.05,0.02,0.31828334925730556
FMINCON_100,41,0.1,0.05,0.2713220850060787
FMINCON_100,41,0.2,0.1,0.1954912576600714
FMINCON_100,43,0.0,0.0,0.3571528570818245
FMINCON_100,43,0.05,0.02,0.31828329398704863
FMINCON_100,43,0.1,0.05,0.2713220297358258
FMINCON_100,43,0.2,0.1,0.19549120238982678
FMINCON_100,47,0.0,0.0,0.35715287173220717
FMINCON_100,47,0.05,0.02,0.3182833086375503
FMINCON_100,47,0.1,0.05,0.27132204438644636
FMINCON_100,47,0.2,0.1,0.1954912170406851
FMINCON_100,53,0.0,0.0,0.35715275844242816
FMINCON_100,53,0.05,0.02,0.31828319534771793
FMINCON_100,53,0.1,0.05,0.27132193109655994
FMINCON_100,53,0.2,0.1,0.19549110375069176
FMINCON_100,59,0.0,0.0,0.3571528469477076
FMINCON_100,59,0.05,0.02,0.318283283853097
FMINCON_100,59,0.1,0.05,0.2713220196020378
FMINCON_100,59,0.2,0.1,0.19549119225636813
FMINCON_100,61,0.0,0.0,0.35715291530455895
FMINCON_100,61,0.05,0.02,0.31828335220989856
FMINCON_100,61,0.1,0.05,0.2713220879587894
FMINCON_100,61,0.2,0.1,0.1954912606130198
FMINCON_100,67,0.0,0.0,0.3571528511244389
FMINCON_100,67,0.05,0.02,0.3182832880319556
FMINCON_100,67,0.1,0.05,0.2713220237841146
FMINCON_100,67,0.2,0.1,0.1954911964437902
FMINCON_100,71,0.0,0.0,0.35715299784134225
FMINCON_100,71,0.05,0.02,0.31828343474663645
FMINCON_100,71,0.1,0.05,0.2713221704954829
FMINCON_100,71,0.2,0.1,0.1954913431496234
FMINCON_100,73,0.0,0.0,0.3571529789566818
FMINCON_100,73,0.05,0.02,0.3182834158741116
FMINCON_100,73,0.1,0.05,0.2713221516350949
FMINCON_100,73,0.2,0.1,0.19549132431350724
FMINCON_100,79,0.0,0.0,0.35715205441743214
FMINCON_100,79,0.05,0.02,0.3182824913228896
FMINCON_100,79,0.1,0.05,0.27132122707190026
FMINCON_100,79,0.2,0.1,0.19549039972636825
FMINCON_100,83,0.0,0.0,0.35715298329397166
FMINCON_100,83,0.05,0.02,0.3182834201992853
FMINCON_100,83,0.1,0.05,0.27132215594815207
FMINCON_100,83,0.2,0.1,0.19549132860233262
FMINCON_100,89,0.0,0.0,0.35715291632627755
FMINCON_100,89,0.05,0.02,0.31828335323251616
FMINCON_100,89,0.1,0.05,0.27132208898230764
FMINCON_100,89,0.2,0.1,0.1954912616383377
FMINCON_100,97,0.0,0.0,0.3571509055779968
FMINCON_100,97,0.05,0.02,0.3182816702022803
FMINCON_100,97,0.1,0.05,0.27132073367011633
FMINCON_100,97,0.2,0.1,0.195490561762236
FMINCON_100,101,0.0,0.0,0.3571528829065362
FMINCON_100,101,0.05,0.02,0.3182833198140404
FMINCON_100,101,0.1,0.05,0.27132205556618066
FMINCON_100,101,0.2,0.1,0.1954912282258251
FMINCON_100,103,0.0,0.0,0.3571529019625018
FMINCON_100,103,0.05,0.02,0.3182833388678619
FMINCON_100,103,0.1,0.05,0.2713220746167744
FMINCON_100,103,0.2,0.1,0.19549124727104716
FMINCON_100,107,0.0,0.0,0.3571529714800905
FMINCON_100,107,0.05,0.02,0.31828340838554936
FMINCON_100,107,0.1,0.05,0.2713221441345612
FMINCON_100,107,0.2,0.1,0.19549131678903195
FMINCON_100,109,0.0,0.0,0.35715298095410186
FMINCON_100,109,0.05,0.02,0.3182834178594104
FMINCON_100,109,0.1,0.05,0.27132215360827144
FMINCON_100,109,0.2,0.1,0.1954913262624412
FMINCON_100,113,0.0,0.0,0.35715292857296294
FMINCON_100,113,0.05,0.02,0.3182833654783103
FMINCON_100,113,0.1,0.05,0.2713221012272105
FMINCON_100,113,0.2,0.1,0.19549127388145754
