algorithm,0.0,0.05,0.1,0.2
,0.0,0.02,0.05,0.1
FMINCON_100,1.0,1.0,1.0,1.0
FMINCON_49,3.0,3.0,3.0,3.0
MOEAD_AASF,5.0,5.0,5.0,5.0
MOEAD_ASF,4.0,4.0,4.0,4.0
MOEAD_PBI,8.0,8.0,8.0,7.0
MOEAD_TCH,7.0,7.0,6.0,6.0
MOEAD_WS,6.0,6.0,7.0,8.0
NSGA2,2.0,2.0,2.0,2.0
