algorithm,seed,Yhp,Yhc,D,productivity_DH,process_yield_H_Gin,Bp,Bc,G,A,Hp,Hc,H_total
NSGA2,2,0.9084952191309719,0.882063324377441,0.04086262067447747,0.289065908364894,0.35370456372300507,0.6638996805698386,0.06453104227927761,0.34700038225114094,0.01546292320592886,6.591455441476582,0.4826358329835185,7.074091274460101
NSGA2,2,0.502582260886955,0.3448881196175474,0.2779163968292436,1.109109912825095,0.19954020804079264,3.713092881039437,0.45428128082461944,1.1516941079589464,0.019717267542326958,3.7516446807136345,0.2391594801022183,3.990804160815853
NSGA2,2,0.5848024115531806,0.4259859975548144,0.2309248342005396,1.078826058667539,0.23358814187361618,3.100777965311196,0.41009986785201724,1.0376709743148376,0.016245153227310915,4.367420433698434,0.3043424037738896,4.671762837472324
NSGA2,2,0.88922748944669,0.8663133332512468,0.049525028688338184,0.3492312914508582,0.35258060489836,0.8218176965122951,0.07013109196336868,0.32960949694486763,0.018911586544025943,6.597150172025716,0.4544619259414835,7.0516120979672
NSGA2,2,0.5961514984060252,0.4655303390470491,0.22290706895812445,1.068141744363127,0.2395935107297537,3.0280177083392994,0.3696646111204302,1.0070750005220004,0.018931718101370544,4.469887313934716,0.3219829006603584,4.7918702145950745
NSGA2,2,0.7669506417819356,0.6897405740395908,0.12090364784056355,0.7569562219909136,0.3130411015344702,1.7640034499104356,0.20493760671406847,0.6039931464008773,0.01659107459818545,5.805223358514657,0.45559867217474637,6.260822030689403
NSGA2,2,0.9021663043925636,0.8700464080389486,0.044897716096145714,0.3174690269610531,0.35354696693392224,0.7124114317833145,0.07490441624008466,0.3801869115101708,0.014497981243431443,6.569450173873579,0.5014891648048656,7.0709393386784445
NSGA2,2,0.7831951024165885,0.7113797752463222,0.1160257684913061,0.7319181071151117,0.3154118764444792,1.6128307154869888,0.19554849125045967,0.8413796623180049,0.017909732536751446,5.826257300808784,0.4819802280808001,6.308237528889585
NSGA2,2,0.6795158224901743,0.5779262097458338,0.17269200492248865,0.9540046206278678,0.2762156305545427,2.4204506249558833,0.286493492559036,0.803377636646323,0.01844618329950136,5.132030261192309,0.39228234989854494,5.524312611090854
NSGA2,2,0.6854096263359597,0.5997745625971818,0.1684950686602706,0.9408686537939189,0.27919768254195976,2.380847587839957,0.26472410694886,0.7938536828012855,0.020923757529691427,5.18724027228805,0.39671337855114563,5.583953650839195
NSGA2,2,0.560813153746899,0.4208942399168072,0.2394395492954344,1.0874288541988772,0.2270779529527815,3.3304381634417846,0.3973653534763416,0.8479675247430318,0.018572914170375644,4.252753801106423,0.2888052579492072,4.54155905905563
NSGA2,2,0.66187372552767,0.5649194415762061,0.18128527185361848,0.9785817834519356,0.2699010717875929,2.565178753782956,0.2901578478814901,0.7735109648456667,0.01992913119006046,5.0212732537875855,0.37674818196427334,5.3980214357518586
NSGA2,2,0.560813153746899,0.4208942399168072,0.2443874953021873,1.0942682563258948,0.22387975599423005,3.278313626911026,0.4009367850557333,1.114634331811772,0.01952642854475246,4.186194144393563,0.2914009754910376,4.477595119884601
NSGA2,2,0.574835687517645,0.41388764861830524,0.23523312347473213,1.0841488736997331,0.2304413718793706,3.1909242203234203,0.41718211989622483,0.9647845980374168,0.016214984665356983,4.314231143476896,0.2945962941105169,4.608827437587412
NSGA2,2,0.7472104107885994,0.6398791135641594,0.13258128087936102,0.8075890736041287,0.3045637620362764,1.91004552389292,0.2506969895060521,0.6139661634439427,0.01325287588715265,5.645825466884332,0.44544977384119533,6.091275240725528
NSGA2,2,0.8201137994472687,0.776730937394186,0.08814289806761355,0.5894473095261461,0.334370279653153,1.3652457046921853,0.1331324834551875,0.45396191617141485,0.019491099889415282,6.22425087979975,0.4631547132633097,6.68740559306306
NSGA2,2,0.7619192432795586,0.6866373990542155,0.1232196806599081,0.7674526594098191,0.31141642929915686,1.8057645531268927,0.20510336390716483,0.594171936951359,0.017192751733660236,5.778907883239954,0.4494207027431824,6.228328585983137
NSGA2,2,0.8121398812079218,0.7656539597674233,0.09536748323890681,0.6294303887321692,0.3300026211006175,1.4164934226340529,0.14581201248183104,0.5791672294053054,0.020730844601982452,6.123656300159503,0.47639612185284747,6.60005242201235
NSGA2,2,0.7831951024165885,0.7199528169895743,0.11090915997204592,0.7095009025573833,0.3198567650932571,1.6433596347985184,0.17916183391450796,0.5654871137721867,0.018126003424625007,5.9365412489731115,0.46059405289203076,6.397135301865142
NSGA2,2,0.8088291627550027,0.7467077276209516,0.09766904921392856,0.6419055153103663,0.3286125545792783,1.4389124132094093,0.16428818487891178,0.5710402763193339,0.01661902969416459,6.087928154870302,0.48432293671526294,6.572251091585565
NSGA2,2,0.8682518560514817,0.8199088730526928,0.06545883276738872,0.45401274099183003,0.34679257313156453,0.9725246844544607,0.11568420601999542,0.5277100106005442,0.014624674844250056,6.4091708393510425,0.5266806232802477,6.93585146263129
NSGA2,2,0.6918567135236365,0.5640116730046891,0.16584887177860058,0.9316067044557893,0.28086012719442394,2.323588874090129,0.30934409714184424,0.7426130598408871,0.014123930852367005,5.2170228350290415,0.40017970885943727,5.617202543888479
NSGA2,2,0.8822345463505226,0.8412032944334374,0.05755839387309951,0.4030228506156189,0.3500991110907072,0.864348193394853,0.09943764608831708,0.5017468431457314,0.015091014897193921,6.4752252265618955,0.5267569952522487,7.001982221814144
NSGA2,2,0.6700569350742693,0.5583376601437942,0.17762900699886458,0.9683539335222663,0.2725776464900398,2.49596175546746,0.3027188629316398,0.7732413598303797,0.01725317943006217,5.068863879007671,0.3826890507931244,5.451552929800796
NSGA2,2,0.7042434669624884,0.5995804369856841,0.160364229071694,0.913866132694232,0.2849345324653636,2.2187134651211466,0.2775380707930388,0.8525863490871265,0.01690254868762687,5.2831105599790575,0.41558008932821433,5.698690649307272
NSGA2,2,0.8085668280515182,0.7221168369829685,0.09977409055784771,0.6522096935384168,0.3268432164562173,1.4279496199858124,0.19454635004161785,0.629667736315601,0.012537218878963877,6.031309428232332,0.505554900892013,6.536864329124345
NSGA2,2,0.7950179660732378,0.7143292107923926,0.10407821408742299,0.6747697529058415,0.32416474418894836,1.549294858510812,0.18971613961182845,0.5136434592735085,0.01361876089011329,6.008903432488476,0.474391451290491,6.483294883778967
NSGA2,2,0.7096080621585419,0.6324176950624719,0.15091248149829087,0.8798207815690949,0.29150033610011883,2.219557211778902,0.2361251454366425,0.6062806842551063,0.019900351943629137,5.423758330234139,0.40624839176823685,5.830006722002376
NSGA2,2,0.5270924358647785,0.3750220716406587,0.26555957405508096,1.1065698758636693,0.20834682383436692,3.5048347378408455,0.4341662354734254,1.2587234025506389,0.01972900797036678,3.906412202668412,0.26052427401892647,4.166936476687338
NSGA2,2,0.7259748198287117,0.6549709068688516,0.1431513379236219,0.8512678031104806,0.2973314170366584,2.085509379564492,0.22203425376593997,0.649805174642097,0.020692419052060085,5.5251393143288094,0.4214890264043584,5.9466283407331675
NSGA2,2,0.7948612546591599,0.7514028605108855,0.10185593059952211,0.6631327598950566,0.32552486438043887,1.564429324674511,0.14845815138037655,0.4882377417140892,0.021848779773803763,6.061771771930599,0.4487255156781785,6.510497287608778
NSGA2,2,0.7030831611551711,0.6169890631929146,0.15760454010604996,0.9049215746664256,0.287086137892194,2.252220559441109,0.25363916823621835,0.7189529927332774,0.019407918851912346,5.333137577212559,0.4085851806313209,5.74172275784388
NSGA2,2,0.8336934212912145,0.7841660525081204,0.0825215610720947,0.5577923823108074,0.3379676626715131,1.2512092957584084,0.13405625004217944,0.4908860675977553,0.017083852040608555,6.272301232044366,0.4870520213858966,6.7593532534302625
NSGA2,2,0.7349085897116798,0.6671593519032887,0.13658106733246836,0.8243721918361555,0.3017886036244878,2.0246425455054515,0.21097585221694404,0.581964824331773,0.02026561735241798,5.612883481095707,0.42288859139404833,6.035772072489756
NSGA2,2,0.6313656640235846,0.5067766538872989,0.20160074113593612,1.0287934255886728,0.2551561615775445,2.774531155622409,0.34175032253270293,0.8996791933868457,0.017817783904682853,4.751981935659242,0.3511412958916473,5.10312323155089
NSGA2,2,0.8878284675492393,0.8488537411033348,0.05235122133325136,0.3686192317857969,0.35206364092184517,0.8261394249154435,0.08946535547768122,0.3867902886635884,0.013924580251332369,6.538825703630776,0.5024471148061276,7.041272818436903
