metric,test,statistic,p_value
HV,Kruskal-Wallis,185.31615491009688,1.4671965449715438e-36
Spacing,Kruskal-Wallis,194.04405255878294,2.092605550841896e-38
time_seconds,Kruskal-Wallis,199.87869986168732,1.2177188448798212e-39
