algorithm,seed,HV,Spacing,n_non_dominated,time_seconds,n_function_evaluations,n_feasible_evaluations,n_infeasible_evaluations,IGD_plus,Epsilon
NSGA2,2,0.3572124577876335,0.005187526161094006,100,207.41360549995443,10000,5729,4271,0.0005002455863277539,0.004066192730013546
NSGA2,3,0.35722747574199115,0.004931804415458406,100,210.50910369999474,10000,5703,4297,0.0005350154851401014,0.002938054786883748
NSGA2,5,0.35702101272816655,0.005318058605810457,100,212.36762669996824,10000,5750,4250,0.0005212241731853426,0.003378396745579826
NSGA2,7,0.3571535131691041,0.005113049005430193,100,225.9398217999842,10000,5755,4245,0.0005926544145505087,0.004012034543862092
NSGA2,11,0.35720795514440756,0.004673921036023819,100,225.13388709997525,10000,5884,4116,0.0006555082650250344,0.007459549328239445
NSGA2,13,0.3571919831818858,0.0042998975538121,100,219.3105994000216,10000,5802,4198,0.0006814010561810675,0.0036112541222607097
NSGA2,17,0.3571774330469139,0.005791251184283839,100,218.6912786999601,10000,5736,4264,0.00045603404111247634,0.003098685469263396
NSGA2,19,0.35720260227544404,0.004952419868790013,100,215.8280947000021,10000,5793,4207,0.0006120801245887366,0.0037874118184790806
NSGA2,23,0.35695746361147435,0.004620192462413175,100,213.09934359998442,10000,5713,4287,0.0009053880029339507,0.009866248424848845
NSGA2,29,0.3571383103672754,0.005285984387162154,100,211.16371469997102,10000,5803,4197,0.0006761270548306338,0.0036831216537440425
NSGA2,31,0.3571074977970953,0.00477300910129224,100,218.9499444999965,10000,5836,4164,0.000608019632290238,0.0033804658806584342
NSGA2,37,0.35717835529051584,0.005171445120289093,100,241.73624260001816,10000,5754,4246,0.00047856094130841636,0.003072481774353153
NSGA2,41,0.357200930036424,0.0052482005130448425,100,213.3698701999965,10000,5797,4203,0.0005471335446680004,0.004188553545768636
NSGA2,43,0.35692680332637183,0.004703181733533439,100,213.28748519998044,10000,5887,4113,0.0006420484828853801,0.0030125082750754317
NSGA2,47,0.35604160875146534,0.004797398543367364,100,212.67133690003539,10000,5864,4136,0.001960348823673189,0.004286847074771671
NSGA2,53,0.35637040249851676,0.004144358604817266,100,226.7736057000002,10000,5942,4058,0.002998176565196996,0.003314549840812475
NSGA2,59,0.3565522060313003,0.004755643507794194,100,219.14694810000947,10000,5767,4233,0.0006569461831281773,0.0035932929280605153
NSGA2,61,0.35646623988773757,0.00497838560826531,100,219.31906329997582,10000,5832,4168,0.0007345090475907899,0.0038260864416224116
NSGA2,67,0.357041438563362,0.004479963959993134,100,230.49491329997545,10000,5938,4062,0.0008297515255180743,0.004329517440635422
NSGA2,71,0.35484621043418213,0.005093897732218059,100,214.67404850001913,10000,5827,4173,0.0014060366934245375,0.011443016034035525
NSGA2,73,0.35725748287358045,0.004848248399624754,100,208.81903040001635,10000,5641,4359,0.0004995474639858202,0.0035839590042751057
NSGA2,79,0.35689923917623223,0.00971731026265246,100,213.5302246999927,10000,5976,4024,0.0005257297754130764,0.0032889224273923434
NSGA2,83,0.3572516559615825,0.006254949212601363,100,212.7486843999941,10000,5740,4260,0.0005095602228099932,0.0034026551154211493
NSGA2,89,0.35690067920581475,0.003965027411178543,100,214.74484990001656,10000,5908,4092,0.0009927819020825103,0.0036224826447601444
NSGA2,97,0.35574423367969515,0.0053464363911729035,100,223.3420718999696,10000,5958,4042,0.0011192156215285264,0.006937314357160718
NSGA2,101,0.357196380189602,0.004979913842291251,100,221.18495350005105,10000,5812,4188,0.0005694155922803636,0.006615199028144447
NSGA2,103,0.3561536808963411,0.004660185267479732,100,210.28715250000823,10000,5992,4008,0.0010927034036932444,0.004664596935619381
NSGA2,107,0.3571871956340809,0.005492446039907119,100,207.07033539999975,10000,5742,4258,0.00046977072583124265,0.002928603462602597
NSGA2,109,0.3570867749667394,0.00526047865585928,100,206.8828592999489,10000,5790,4210,0.00048543722636249393,0.0032723105044064615
NSGA2,113,0.3571127171514933,0.005166854074281931,100,208.40310289995978,10000,5835,4165,0.0006236323949578605,0.006505442909807924
MOEAD_TCH,2,0.3536607735375087,0.0069143777204296,100,229.526093100023,10000,8353,1647,0.00818994038294849,0.007167183811704891
MOEAD_TCH,3,0.3517009821796066,0.004730604501227363,100,227.78460649994668,10000,8486,1514,0.016301111304821144,0.011391552721906562
MOEAD_TCH,5,0.3421021285462933,0.010938074344477173,100,239.2713236999698,10000,8642,1358,0.00881898238398053,0.04837609992170466
MOEAD_TCH,7,0.35568182582053576,0.006018149278069154,100,227.57598229998257,10000,8393,1607,0.005336186665400334,0.0041677081597613075
MOEAD_TCH,11,0.3497807385170697,0.00587197510951199,100,233.2660916999448,10000,8642,1358,0.0114539877955165,0.017039699213187598
MOEAD_TCH,13,0.3529882877699977,0.008524113408953113,100,232.28534110001056,10000,8363,1637,0.0041599391272471925,0.018206900960690664
MOEAD_TCH,17,0.3553739234350137,0.007282969608255921,100,225.57066869997652,10000,8352,1648,0.0050415598060088275,0.008990260469357247
MOEAD_TCH,19,0.35552269097264916,0.012443526043818624,100,223.2537620999501,10000,8337,1663,0.0008625568959946357,0.02056066055729014
MOEAD_TCH,23,0.3464466636601307,0.00868578214782007,100,233.4650936999824,10000,8601,1399,0.008381344413718635,0.027415994384795805
MOEAD_TCH,29,0.34471610400568675,0.006122084424317303,100,227.79148620000342,10000,8548,1452,0.010780040114115435,0.04384157378266851
MOEAD_TCH,31,0.34627468580315224,0.010083825136203138,100,229.01708790002158,10000,8537,1463,0.004634788043853428,0.02929361504074124
MOEAD_TCH,37,0.3431147572861821,0.004002900941684898,99,220.30314249999356,10000,8828,1172,0.02186875876025883,0.033579055830561755
MOEAD_TCH,41,0.3374839205624848,0.0048678140066305406,100,219.59265030000824,10000,8731,1269,0.01767196591969776,0.069377696920782
MOEAD_TCH,43,0.34502705822533825,0.005708527470033095,100,223.17857539997203,10000,8625,1375,0.010803198308102707,0.042084433235481944
MOEAD_TCH,47,0.3446694122801325,0.007022840808729782,100,220.40988470002776,10000,8600,1400,0.00851705836116478,0.04753410171485051
MOEAD_TCH,53,0.3488755408735721,0.00669540776300092,99,220.00287169998046,10000,8537,1463,0.008677398495559237,0.0297221829216745
MOEAD_TCH,59,0.3533440999560943,0.009431013406293945,100,220.71189420000883,10000,8483,1517,0.0028474483747697858,0.011750982047879083
MOEAD_TCH,61,0.35240252324352944,0.008619767513181418,99,224.73661960003665,10000,8407,1593,0.004690854545580557,0.015173657029485588
MOEAD_TCH,67,0.3436202218223384,0.004730463164954407,100,217.14656189997913,10000,8569,1431,0.01965902137474317,0.035550816303932864
MOEAD_TCH,71,0.35290007985690935,0.009005312268657287,100,231.54462729999796,10000,8416,1584,0.0038935213181693555,0.008574142691895492
MOEAD_TCH,73,0.3402433944491782,0.0072670088833609444,100,222.16580389998853,10000,8576,1424,0.008419467939764063,0.06394544748773234
MOEAD_TCH,79,0.3471452835917001,0.0062920709256281395,100,237.05499470001087,10000,8672,1328,0.011419069457170125,0.027697964246803153
MOEAD_TCH,83,0.3467258239518349,0.009668484524842117,100,227.879290700017,10000,8594,1406,0.005887694323593541,0.03607432024609447
MOEAD_TCH,89,0.35287070033787366,0.01065984300671306,99,254.19133439997677,10000,8584,1416,0.009399294749293048,0.01005861450648271
MOEAD_TCH,97,0.34477420841065387,0.010257024471498375,100,245.25673870003084,10000,8607,1393,0.0062875335194186,0.037441071210653876
MOEAD_TCH,101,0.3452853590654859,0.023626953931035775,96,228.92766130005475,10000,8558,1442,0.004650643427409992,0.04293466920693234
MOEAD_TCH,103,0.3528005473255731,0.005471294838699222,100,230.46163299999898,10000,8385,1615,0.011324151840266068,0.020098592054339698
MOEAD_TCH,107,0.3534004203325808,0.005930762699737422,100,221.22994829999516,10000,8325,1675,0.0055037047386777786,0.010264247300602936
MOEAD_TCH,109,0.3519281449995166,0.010925666522075366,100,222.58776219998254,10000,8351,1649,0.0033632922738746863,0.01969253680601768
MOEAD_TCH,113,0.3513846080868847,0.008282650025719525,100,223.44443269999465,10000,8586,1414,0.010233453374878148,0.011441365865146769
MOEAD_PBI,2,0.35131634959104735,0.014538499804693692,67,225.84781049995217,10000,7781,2219,0.00180997772339159,0.018301987576441636
MOEAD_PBI,3,0.34819831054813094,0.008136742629529245,78,223.5101123000495,10000,7912,2088,0.014606589048558551,0.014447006873698154
MOEAD_PBI,5,0.34700070363705204,0.007988025365650707,64,236.56765939999605,10000,8041,1959,0.017127097294574813,0.02148602229367569
MOEAD_PBI,7,0.3491467210206519,0.00874214722863478,67,240.2631745999679,10000,8010,1990,0.02068072988771949,0.014131919448982289
MOEAD_PBI,11,0.3463244804045941,0.009115707084559471,67,231.92095770000014,10000,7996,2004,0.013095046386768868,0.029818803984675624
MOEAD_PBI,13,0.34954776214575867,0.007129352602924704,78,243.12173239997355,10000,7785,2215,0.01297363632486473,0.015621047574656544
MOEAD_PBI,17,0.3476535877923143,0.00841268331523002,74,244.31880169996293,10000,8019,1981,0.012276109841358544,0.025310703784961586
MOEAD_PBI,19,0.3497381580978568,0.0063046440690873295,74,243.31953470001463,10000,7920,2080,0.018238988975268607,0.012690510139515554
MOEAD_PBI,23,0.3519041720234058,0.009153913198853123,73,235.70737110002665,10000,7908,2092,0.00967563932858425,0.011646352799634108
MOEAD_PBI,29,0.34493720163023955,0.009217557528122552,70,238.0201019999804,10000,7989,2011,0.01012476071919028,0.04208074193835998
MOEAD_PBI,31,0.3474279946540688,0.008989606459523146,76,236.32977429998573,10000,7979,2021,0.011956810443959862,0.02806683391483622
MOEAD_PBI,37,0.3408037342554129,0.007780244701680056,73,233.57795900001656,10000,8048,1952,0.0224669186366439,0.04212298095007316
MOEAD_PBI,41,0.346046454436888,0.017945470149796115,62,235.25494279997656,10000,8075,1925,0.004860860456711592,0.03911099242978766
MOEAD_PBI,43,0.3531339530960668,0.010341478301631344,68,234.05098489997908,10000,7722,2278,0.008587537307812101,0.011615886299531003
MOEAD_PBI,47,0.35008548476924123,0.009176209955568008,70,235.11047349998262,10000,7886,2114,0.01667807373490884,0.025101995597352822
MOEAD_PBI,53,0.35024822120423127,0.012121897860092462,64,237.56996599998092,10000,7912,2088,0.01204925821683075,0.017286006948788735
MOEAD_PBI,59,0.3508107856263359,0.010476666534411452,76,236.1436609000084,10000,7865,2135,0.0054011101477158,0.0167852812214071
MOEAD_PBI,61,0.3486107107961394,0.02207925348611492,63,235.22127739997813,10000,7804,2196,0.0030995788458575858,0.030865142033261295
MOEAD_PBI,67,0.3471589843724318,0.007761091453902101,72,238.18268839997472,10000,7974,2026,0.014704486042471274,0.0252595309825987
MOEAD_PBI,71,0.34750865047497337,0.018016746841877457,79,235.14014979999047,10000,7924,2076,0.003712012222483403,0.029279139931007503
MOEAD_PBI,73,0.3389578165042326,0.006384288118464597,81,235.62024969997583,10000,8023,1977,0.017530144869108085,0.06282901394399731
MOEAD_PBI,79,0.34151749564727624,0.008336047700283612,79,232.3720103999949,10000,7923,2077,0.018050748085991414,0.03624324319847183
