algorithm,seed,HV,median_HV,abs_distance_to_median_HV,n_tied_candidates,tie_breaking_rule
NSGA2,31,0.3571074977970953,0.3571101074742943,2.6096771990058443e-06,2,Smallest numeric seed
MOEAD_AASF,7,0.3528970647140836,0.3531110462613713,0.00021398154728768937,2,Smallest numeric seed
MOEAD_ASF,17,0.3532476646368367,0.3532076997106997,3.9964926137003864e-05,2,Smallest numeric seed
MOEAD_PBI,7,0.3491467210206519,0.3488787159083957,0.0002680051122562199,2,Smallest numeric seed
MOEAD_TCH,11,0.3497807385170697,0.3493281396953209,0.0004525988217488064,2,Smallest numeric seed
MOEAD_WS,11,0.3511154611946445,0.35112021932068327,4.758126038784116e-06,2,Smallest numeric seed
FMINCON_49,53,0.356156558774471,0.3561565382547725,2.0519698495924388e-08,2,Smallest numeric seed
FMINCON_100,23,0.357152915881492,0.35715291559302553,2.8846647293079286e-10,2,Smallest numeric seed
