algorithm,seed,HV,Spacing,n_non_dominated,time_seconds,n_function_evaluations,n_objective_function_calls,n_constraint_function_calls,n_equilibrium_solver_calls,n_successful_weight_solutions,n_fmincon_runs,IGD_plus,Epsilon
FMINCON_49,101,0.356136483923863,0.016715707574306,49,349.579498,9968,9968,9968,50155,49,49,0.000993730384957685,0.00558255291396736
FMINCON_49,103,0.356156464904243,0.0164632788778646,49,367.5094752,10316,10316,10316,51884,49,49,0.000868380544189874,0.00525126116692731
FMINCON_49,107,0.356156610899804,0.016462065009558,49,379.2133997,10562,10562,10562,53115,49,49,0.000865764587327424,0.00513668548385671
FMINCON_49,109,0.356156285422132,0.0164657516185208,49,363.6911882,10247,10247,10247,51544,49,49,0.000867184272032805,0.00557080889470329
FMINCON_49,113,0.356156648745472,0.0164631657156059,49,378.9405561,10103,10103,10103,50825,49,49,0.000868147395280254,0.00525124756480633
FMINCON_100,2,0.357152913830371,0.00814234721805983,99,814.4842451,20957,20957,20957,105337,100,100,0.000271399901352739,0.00269453855407614
FMINCON_100,3,0.35715303840946,0.00814238529306928,99,754.6831747,20767,20767,20767,104398,100,100,0.000284874452646273,0.0027021477908174
FMINCON_100,5,0.35715295094006,0.00814309924204377,99,725.3055072,20468,20468,20468,102888,100,100,0.000276151693177745,0.00269637244860943
FMINCON_100,7,0.357152925792486,0.008142290277315,99,814.7502821,21455,21455,21455,107823,100,100,0.000269302345426823,0.00270135790453269
FMINCON_100,11,0.357152975146556,0.00814284104654184,99,794.5318696,20822,20822,20822,104656,100,100,0.000275340226191827,0.00270126820412991
FMINCON_100,13,0.357151007846668,0.008172763847757,98,822.0977122,21887,21887,21887,110011,100,100,0.000283681011913145,0.00269586170080849
FMINCON_100,17,0.357152944490917,0.0081434179898749,99,784.1914219,20852,20852,20852,104819,100,100,0.000278064803428822,0.00270289423899334
FMINCON_100,19,0.357152877631351,0.00814266991085561,99,784.0353337,20816,20816,20816,104625,100,100,0.000270120690296393,0.00270210593255438
FMINCON_100,23,0.357152915881492,0.00814300398304535,99,786.7148539,21010,21010,21010,105600,100,100,0.000277213016748493,0.00269399022611461
FMINCON_100,29,0.357152922036394,0.00814291758107105,99,775.3525074,20757,20757,20757,104336,100,100,0.000276947639276966,0.00269582215124736
FMINCON_100,31,0.357152868533293,0.00814380550182029,99,760.8550548,20308,20308,20308,102100,100,100,0.000292539927624462,0.00269542861325534
FMINCON_100,37,0.357153020544114,0.00814248865417554,99,774.3272559,20631,20631,20631,103720,100,100,0.000283939114809353,0.00270375797468636
FMINCON_100,41,0.357152912352086,0.00814234712341498,99,790.047313,20939,20939,20939,105251,100,100,0.000268465093273875,0.00270209893525608
